player,total_runs_innings_1,total_wickets_innings_1,matches_played_innings_1,total_runs_innings_2,total_wickets_innings_2,matches_played_innings_2
KA Pollard,946.0,29.0,56.0,818.0,8.0,48.0
KADM Fernando,,2.0,1.0,,,
KAJ Roach,127.0,37.0,40.0,49.0,33.0,42.0
KC Brathwaite,14.0,0.0,4.0,90.0,,4.0
KC Sangakkara,4348.0,,101.0,2954.0,,70.0
KD Karthik,463.0,,21.0,529.0,,27.0
KD Mills,208.0,61.0,63.0,356.0,65.0,53.0
KDK Vithanage,,,,9.0,,1.0
KH Pandya,37.0,1.0,3.0,,0.0,2.0
KHRK Fernando,3.0,,1.0,,1.0,1.0
KIC Asalanka,500.0,4.0,20.0,433.0,5.0,18.0
KJ Abbott,40.0,13.0,12.0,4.0,11.0,11.0
KJ Harding,,1.0,1.0,1.0,,1.0
KK Ahmed,5.0,4.0,5.0,3.0,3.0,3.0
KK Nair,,,,46.0,,2.0
KL Rahul,1015.0,,20.0,736.0,,25.0
KM Dabengwa,204.0,4.0,16.0,63.0,4.0,17.0
KM Jadhav,376.0,16.0,38.0,619.0,4.0,25.0
KM Jarvis,39.0,17.0,18.0,58.0,13.0,17.0
KMA Paul,80.0,6.0,11.0,105.0,8.0,10.0
KMDN Kulasekara,476.0,51.0,92.0,383.0,55.0,84.0
KNA Bandara,123.0,,3.0,3.0,0.0,2.0
KNM Fernando,,,,38.0,,1.0
KO Meth,20.0,4.0,6.0,26.0,3.0,5.0
KOA Powell,373.0,,13.0,295.0,,15.0
KOK Williams,2.0,0.0,2.0,1.0,1.0,2.0
KP Pietersen,991.0,2.0,28.0,1268.0,1.0,38.0
KP Walmsley,,,,,1.0,1.0
KR Mayers,226.0,2.0,12.0,152.0,4.0,11.0
KR Sen,2.0,,1.0,,2.0,1.0
KS Lokuarachchi,55.0,4.0,9.0,26.0,6.0,8.0
KS Williamson,2302.0,11.0,70.0,1787.0,15.0,67.0
KTGD Prasad,50.0,16.0,11.0,48.0,6.0,9.0
KU Carty,124.0,,6.0,201.0,0.0,6.0
KV Sharma,,0.0,1.0,,0.0,1.0
KW Richardson,18.0,9.0,10.0,43.0,21.0,14.0
KY Ottley,8.0,,1.0,9.0,,2.0
Kabir Ali,25.0,6.0,3.0,20.0,1.0,4.0
Kamran Akmal,793.0,,37.0,1024.0,,44.0
Kamran Hussain,28.0,2.0,2.0,,2.0,1.0
Khaled Ahmed,0.0,3.0,2.0,1.0,0.0,2.0
Khaled Mahmud,91.0,7.0,15.0,48.0,8.0,14.0
Khaled Mashud,229.0,,12.0,72.0,,7.0
Khalid Latif,64.0,,1.0,83.0,,3.0
Khurram Manzoor,0.0,,1.0,137.0,,4.0
Khushdil Shah,,3.0,2.0,87.0,,3.0
Kuldeep Yadav,49.0,63.0,48.0,76.0,47.0,35.0
L Balaji,61.0,4.0,11.0,23.0,16.0,12.0
L Gregory,40.0,,1.0,,3.0,1.0
L Klusener,68.0,1.0,5.0,57.0,4.0,6.0
L Ngidi,6.0,32.0,23.0,47.0,25.0,23.0
L Ronchi,501.0,,25.0,267.0,,14.0
L Sipamla,,1.0,2.0,4.0,,1.0
L Vincent,414.0,0.0,19.0,237.0,1.0,14.0
L Wood,10.0,,1.0,,0.0,1.0
LA Dawson,21.0,0.0,3.0,20.0,3.0,3.0
LB Williams,,2.0,2.0,2.0,,1.0
LD Chandimal,1129.0,,45.0,978.0,,37.0
LD Madushanka,0.0,1.0,2.0,6.0,1.0,2.0
LE Bosman,120.0,,4.0,72.0,,4.0
LE Plunkett,161.0,29.0,37.0,121.0,46.0,36.0
LH Ferguson,34.0,20.0,25.0,14.0,31.0,23.0
LHD Dilhara,14.0,,2.0,29.0,3.0,3.0
LJ Hamilton,2.0,,1.0,,0.0,1.0
LJ Woodcock,3.0,,1.0,,3.0,3.0
LJ Wright,276.0,7.0,22.0,129.0,2.0,19.0
LL Tsotsobe,26.0,25.0,18.0,16.0,40.0,26.0
LM Jongwe,24.0,11.0,13.0,104.0,2.0,12.0
LMP Simmons,682.0,0.0,25.0,372.0,1.0,20.0
LN Roche,0.0,2.0,3.0,4.0,0.0,2.0
LPC Silva,863.0,,28.0,115.0,1.0,8.0
LR Johnson,,,,1.0,,1.0
LR Morris,,2.0,1.0,,,
LRPL Taylor,2853.0,0.0,63.0,2342.0,,61.0
LS Baker,,1.0,1.0,0.0,,1.0
LS Livingstone,353.0,8.0,18.0,208.0,5.0,16.0
Liton Das,481.0,,20.0,532.0,,17.0
M Bhanuka,27.0,,1.0,,,
M Dillon,,7.0,7.0,8.0,4.0,5.0
M Jansen,166.0,12.0,11.0,149.0,10.0,12.0
M Kaif,529.0,,21.0,299.0,,20.0
M Kartik,41.0,12.0,13.0,60.0,13.0,13.0
M Labuschagne,635.0,3.0,22.0,401.0,0.0,15.0
M Morkel,80.0,47.0,43.0,99.0,58.0,46.0
M Muralitharan,181.0,46.0,61.0,46.0,88.0,65.0
M Ntini,4.0,42.0,30.0,45.0,34.0,30.0
M Pathirana,0.0,5.0,4.0,5.0,3.0,4.0
M Prasidh Krishna,0.0,9.0,9.0,0.0,6.0,7.0
M Pushpakumara,,0.0,1.0,,,
M Shezi,,1.0,1.0,,,
M Shumba,,,,9.0,,1.0
M Theekshana,54.0,7.0,16.0,18.0,16.0,12.0
M Vijay,147.0,,6.0,63.0,1.0,6.0
M Zondeki,,1.0,2.0,,,
M de Lange,,7.0,2.0,,1.0,1.0
M van Jaarsveld,11.0,1.0,3.0,5.0,,1.0
MA Agarwal,1.0,,1.0,25.0,,2.0
MA Aponso,6.0,,5.0,,9.0,5.0
MA Carberry,,,,103.0,,4.0
MA Starc,219.0,65.0,55.0,55.0,87.0,56.0
MA Vermeulen,134.0,,11.0,142.0,,10.0
MA Wood,47.0,25.0,27.0,69.0,18.0,25.0
MADI Hemantha,13.0,0.0,2.0,0.0,,1.0
MB Loye,74.0,,3.0,23.0,,3.0
MC Henriques,10.0,2.0,5.0,14.0,1.0,4.0
MD Bates,13.0,,1.0,,3.0,2.0
MD Gunathilaka,401.0,2.0,20.0,454.0,1.0,18.0
MD Shanaka,173.0,2.0,21.0,287.0,5.0,14.0
MDJ Walker,,,,,0.0,1.0
MDK Perera,93.0,,7.0,,8.0,7.0
MDKJ Perera,1011.0,,31.0,967.0,,32.0
ME Trescothick,384.0,0.0,17.0,591.0,,13.0
MEK Hussey,1869.0,1.0,55.0,760.0,0.0,30.0
MF Maharoof,397.0,33.0,54.0,130.0,36.0,45.0
MG Bevan,156.0,,9.0,234.0,,5.0
MG Bracewell,104.0,0.0,6.0,26.0,3.0,6.0
MG Johnson,458.0,73.0,73.0,86.0,70.0,56.0
MG Neser,8.0,0.0,3.0,0.0,2.0,3.0
MH Yardy,55.0,5.0,12.0,67.0,3.0,11.0
MHW Papps,,,,32.0,,2.0
MJ Clarke,2423.0,19.0,97.0,1893.0,18.0,81.0
MJ Cosgrove,,0.0,1.0,74.0,,1.0
MJ Guptill,2022.0,0.0,57.0,1931.0,2.0,57.0
MJ Henry,75.0,51.0,34.0,81.0,34.0,31.0
MJ Hoggard,0.0,0.0,2.0,,0.0,1.0
MJ Lumb,20.0,,1.0,106.0,,1.0
MJ Mason,19.0,5.0,9.0,1.0,9.0,9.0
MJ McClenaghan,,27.0,14.0,51.0,18.0,15.0
MJ North,5.0,0.0,2.0,1.0,,1.0
MJ Potts,11.0,2.0,3.0,10.0,5.0,4.0
MJ Prior,351.0,,11.0,307.0,,15.0
MJ Santner,455.0,28.0,55.0,279.0,25.0,42.0
MJ Swepson,,,,,2.0,2.0
MK Pandey,170.0,,7.0,298.0,,11.0
MK Tiwary,227.0,4.0,8.0,23.0,1.0,6.0
MKDI Amerasinghe,5.0,,2.0,,7.0,4.0
MKGCP Lakshitha,,2.0,1.0,4.0,0.0,2.0
ML Cummins,,3.0,2.0,1.0,,1.0
ML Hayden,1719.0,,33.0,1237.0,,31.0
ML Lewis,,3.0,1.0,,0.0,1.0
ML Nkala,48.0,4.0,7.0,22.0,1.0,8.0
ML Udawatte,0.0,,1.0,45.0,,2.0
MM Ali,788.0,37.0,81.0,653.0,43.0,73.0
MM Patel,33.0,19.0,22.0,14.0,21.0,23.0
MM Sharma,7.0,10.0,8.0,0.0,11.0,8.0
MN Samuels,1087.0,20.0,67.0,1006.0,16.0,56.0
MN Waller,338.0,3.0,28.0,340.0,3.0,25.0
MN van Wyk,24.0,,4.0,5.0,,2.0
MNK Fernando,52.0,,2.0,4.0,,1.0
MP Kuhnemann,,5.0,2.0,15.0,1.0,2.0
MP Stoinis,421.0,13.0,38.0,523.0,19.0,36.0
MP Vaughan,290.0,5.0,20.0,524.0,2.0,19.0
MR Gillespie,18.0,20.0,14.0,62.0,6.0,16.0
MR Marsh,886.0,18.0,47.0,784.0,19.0,46.0
MS Atapattu,1135.0,,27.0,233.0,,15.0
MS Chapman,60.0,,5.0,69.0,,4.0
MS Dhoni,3498.0,1.0,89.0,2771.0,,83.0
MS Gony,,2.0,1.0,,,
MS Kasprowicz,2.0,11.0,9.0,,15.0,5.0
MS Panesar,1.0,13.0,12.0,22.0,8.0,10.0
MS Sinclair,247.0,,7.0,64.0,,5.0
MS Tshabalala,2.0,0.0,2.0,,1.0,1.0
MS Wade,713.0,,32.0,414.0,,19.0
MT Chinouya,0.0,,1.0,,0.0,1.0
MV Boucher,737.0,,27.0,707.0,,31.0
MVT Fernando,12.0,2.0,5.0,7.0,2.0,5.0
MW Forde,23.0,4.0,4.0,7.0,3.0,3.0
MW Parkinson,7.0,,1.0,,2.0,2.0
MW Short,89.0,1.0,4.0,,0.0,1.0
Mahbubul Alam,,8.0,5.0,81.0,,2.0
Mahedi Hasan,50.0,7.0,7.0,34.0,3.0,7.0
Mahmudullah,1924.0,31.0,102.0,1245.0,27.0,89.0
Manjural Islam,,,,,0.0,1.0
Manjural Islam Rana,116.0,4.0,7.0,51.0,3.0,8.0
Mansoor Amjad,,1.0,1.0,5.0,,1.0
Mashrafe Mortaza,464.0,67.0,81.0,267.0,47.0,68.0
Mehedi Hasan Miraz,488.0,22.0,39.0,130.0,39.0,37.0
Mehrab Hossain jnr,3.0,1.0,5.0,94.0,0.0,5.0
Misbah-ul-Haq,1368.0,,37.0,1610.0,0.0,49.0
Mohammad Abbas,,,,,1.0,2.0
Mohammad Amir,65.0,35.0,28.0,239.0,24.0,33.0
Mohammad Ashraful,578.0,3.0,33.0,494.0,2.0,39.0
Mohammad Asif,22.0,9.0,16.0,4.0,14.0,16.0
Mohammad Hafeez,1942.0,58.0,118.0,2187.0,41.0,117.0
Mohammad Haris,17.0,,1.0,,,
Mohammad Hasnain,,7.0,5.0,40.0,2.0,4.0
Mohammad Irfan,1.0,35.0,25.0,30.0,11.0,25.0
Mohammad Mithun,186.0,,9.0,59.0,,3.0
Mohammad Naim,16.0,,1.0,22.0,,2.0
Mohammad Nawaz,35.0,6.0,7.0,19.0,0.0,5.0
Mohammad Nawaz (3),36.0,1.0,7.0,44.0,8.0,9.0
Mohammad Rafique,142.0,20.0,26.0,56.0,8.0,21.0
Mohammad Rizwan,438.0,,17.0,678.0,,24.0
Mohammad Saifuddin,111.0,4.0,9.0,51.0,12.0,8.0
Mohammad Salman,19.0,,1.0,3.0,,1.0
Mohammad Sami,51.0,18.0,23.0,118.0,25.0,26.0
Mohammad Talha,,3.0,2.0,0.0,1.0,2.0
Mohammad Wasim,7.0,7.0,7.0,16.0,7.0,6.0
Mohammad Yousuf,828.0,,24.0,997.0,,28.0
Mohammed Shami,56.0,63.0,45.0,83.0,40.0,30.0
Mohammed Siraj,18.0,24.0,21.0,8.0,12.0,13.0
Moin Khan,85.0,,7.0,151.0,,5.0
Mominul Haque,278.0,2.0,12.0,64.0,4.0,10.0
Moniruzzaman,0.0,,1.0,,,
Mosaddek Hossain,173.0,7.0,21.0,140.0,5.0,19.0
Mosharraf Hossain,3.0,0.0,2.0,7.0,1.0,2.0
Muhammad Musa,,2.0,1.0,,,
Mukesh Kumar,4.0,1.0,3.0,,4.0,3.0
Mushfiqur Rahim,2652.0,,69.0,1562.0,,59.0
Mushfiqur Rahman,47.0,1.0,7.0,39.0,1.0,7.0
Mustafizur Rahman,42.0,35.0,36.0,55.0,41.0,41.0
N Boje,83.0,3.0,7.0,26.0,7.0,8.0
N Burger,7.0,5.0,3.0,1.0,0.0,2.0
N Deonarine,179.0,2.0,13.0,275.0,2.0,17.0
N Dickwella,397.0,,16.0,490.0,,19.0
N Hussain,28.0,,4.0,56.0,,3.0
N M'shangwe,16.0,1.0,3.0,21.0,0.0,3.0
N Madziva,10.0,10.0,7.0,35.0,0.0,6.0
N Ncube,,3.0,1.0,,,
N Pooran,480.0,0.0,13.0,554.0,2.0,18.0
N Pradeep,3.0,36.0,25.0,16.0,12.0,19.0
NA Saini,8.0,5.0,5.0,74.0,2.0,4.0
NB Mahwire,8.0,2.0,5.0,22.0,3.0,7.0
ND McKenzie,10.0,,1.0,101.0,,4.0
NE Bonner,,,,31.0,,1.0
NGRP Jayasuriya,11.0,0.0,2.0,0.0,0.0,2.0
NJ Astle,780.0,3.0,25.0,292.0,2.0,16.0
NL McCullum,395.0,11.0,36.0,186.0,20.0,36.0
NLTC Perera,697.0,69.0,94.0,761.0,52.0,82.0
NM Coulter-Nile,176.0,12.0,17.0,35.0,18.0,16.0
NM Hauritz,96.0,10.0,26.0,42.0,27.0,21.0
NM Lyon,30.0,7.0,12.0,10.0,12.0,17.0
NO Miller,112.0,16.0,20.0,106.0,5.0,17.0
NT Broom,310.0,,11.0,183.0,,7.0
NT Ellis,18.0,3.0,5.0,9.0,4.0,4.0
NT Pascal,,0.0,1.0,0.0,,1.0
NV Knight,138.0,,4.0,48.0,,3.0
NW Bracken,40.0,49.0,39.0,58.0,49.0,41.0
Naeem Islam,219.0,13.0,30.0,359.0,5.0,28.0
Nafees Iqbal,23.0,,2.0,10.0,,1.0
Naseem Shah,,13.0,6.0,0.0,3.0,2.0
Nasir Hossain,404.0,6.0,34.0,371.0,9.0,29.0
Nasir Jamshed,396.0,,10.0,525.0,,16.0
Nasum Ahmed,90.0,6.0,10.0,36.0,1.0,7.0
Naumanullah,5.0,,1.0,,,
Naved Latif,3.0,,1.0,,,
Naved-ul-Hasan,138.0,44.0,40.0,139.0,18.0,32.0
Nazimuddin,29.0,,3.0,31.0,,2.0
Nazmul Hossain,7.0,10.0,11.0,4.0,2.0,7.0
Nazmul Hossain Shanto,413.0,,13.0,149.0,0.0,11.0
Nazmul Islam,7.0,,1.0,,4.0,2.0
Nurul Hasan,44.0,,1.0,76.0,,3.0
O Thomas,6.0,15.0,12.0,8.0,6.0,12.0
OA Shah,625.0,2.0,16.0,387.0,1.0,20.0
OAC Banks,33.0,,1.0,,2.0,1.0
OC McCoy,0.0,,1.0,,2.0,1.0
OF Smith,18.0,2.0,3.0,24.0,1.0,3.0
OP Stone,0.0,1.0,3.0,1.0,2.0,3.0
P Jayawickrama,6.0,,2.0,,1.0,2.0
P Kumar,55.0,39.0,33.0,124.0,24.0,28.0
P Mustard,59.0,,2.0,47.0,,3.0
P Nissanka,364.0,,16.0,379.0,,10.0
P Utseya,317.0,46.0,74.0,435.0,24.0,68.0
PA Browne,,,,15.0,,1.0
PA Hitchcock,21.0,4.0,4.0,,1.0,3.0
PA Jaques,97.0,,2.0,,,
PA Nixon,67.0,,6.0,181.0,,7.0
PA Patel,48.0,,5.0,158.0,,8.0
PA de Silva,120.0,1.0,7.0,107.0,6.0,7.0
PADLR Sandakan,30.0,13.0,16.0,18.0,9.0,16.0
PBB Rajapaksa,24.0,,1.0,,,
PC de Silva,,2.0,3.0,59.0,,3.0
PD Collingwood,951.0,24.0,72.0,948.0,23.0,66.0
PD McGlashan,,,,7.0,,1.0
PD Salt,239.0,,7.0,127.0,,5.0
PDRL Perera,5.0,1.0,3.0,,3.0,5.0
PG Fulton,297.0,,14.0,438.0,,14.0
PHKD Mendis,99.0,1.0,8.0,85.0,0.0,5.0
PHT Kaushal,0.0,,1.0,,0.0,1.0
PJ Cummins,157.0,33.0,41.0,123.0,35.0,38.0
PJ Forrest,255.0,,6.0,26.0,,2.0
PJ Hughes,412.0,,10.0,98.0,,4.0
PJ Ingram,17.0,,2.0,28.0,,1.0
PJ Moor,165.0,,10.0,120.0,,7.0
PL Harris,,1.0,1.0,,,
PLS Gamage,1.0,6.0,4.0,3.0,3.0,6.0
PM Liyanagamage,19.0,1.0,4.0,0.0,1.0,4.0
PM Pushpakumara,8.0,0.0,2.0,3.0,1.0,2.0
PM Siddle,19.0,6.0,9.0,3.0,9.0,10.0
PP Chawla,20.0,2.0,10.0,2.0,8.0,7.0
PP Ojha,30.0,10.0,11.0,6.0,7.0,8.0
PP Shaw,40.0,,1.0,67.0,,2.0
PR Adams,,1.0,1.0,,,
PS Masvaure,,0.0,1.0,39.0,,1.0
PSP Handscomb,271.0,,10.0,167.0,,4.0
PT Collins,,6.0,2.0,1.0,1.0,4.0
PVD Chameera,121.0,9.0,23.0,20.0,16.0,20.0
PW Gunaratne,,0.0,1.0,15.0,2.0,2.0
PWA Mulder,19.0,5.0,10.0,50.0,2.0,8.0
PWH de Silva,313.0,16.0,27.0,206.0,14.0,24.0
Q de Kock,1345.0,,41.0,1625.0,,40.0
R Ashwin,200.0,43.0,55.0,155.0,48.0,43.0
R Clarke,36.0,3.0,8.0,4.0,1.0,6.0
R Dhawan,3.0,1.0,3.0,9.0,0.0,2.0
R Dravid,1400.0,,38.0,1114.0,,33.0
R McLaren,161.0,16.0,28.0,109.0,31.0,27.0
R Murray,16.0,,1.0,84.0,,3.0
R Mutumbami,21.0,,4.0,110.0,,7.0
R Ngarava,49.0,8.0,11.0,37.0,8.0,11.0
R Parag,,3.0,1.0,15.0,,1.0
R Powell,226.0,1.0,17.0,160.0,0.0,11.0
R Rampaul,193.0,41.0,36.0,47.0,32.0,30.0
R Ravindra,96.0,9.0,12.0,326.0,4.0,10.0
R Sharma,,,,,4.0,2.0
R Shepherd,101.0,9.0,16.0,101.0,5.0,11.0
R Telemachus,,2.0,1.0,12.0,2.0,2.0
R Vinay Kumar,27.0,17.0,12.0,14.0,10.0,11.0
RA Jadeja,797.0,80.0,102.0,754.0,61.0,82.0
RA Jones,33.0,,2.0,,,
RA Reifer,7.0,2.0,2.0,27.0,0.0,2.0
RAP Nissanka,18.0,1.0,4.0,6.0,3.0,5.0
RAS Lakmal,87.0,30.0,40.0,48.0,22.0,35.0
RC Irani,23.0,3.0,5.0,9.0,2.0,5.0
RD Gaikwad,12.0,,2.0,24.0,,2.0
RD Jacobs,3.0,,1.0,29.0,,4.0
RD Rickelton,,,,17.0,,2.0
RE van der Merwe,6.0,4.0,6.0,22.0,6.0,6.0
RG Sharma,3136.0,3.0,77.0,4255.0,2.0,108.0
RJ Harris,14.0,3.0,5.0,,17.0,9.0
RJ Nicol,274.0,1.0,9.0,44.0,9.0,8.0
RJ Peterson,230.0,13.0,29.0,120.0,24.0,26.0
RJ Sidebottom,35.0,11.0,12.0,42.0,7.0,12.0
RJW Topley,18.0,12.0,13.0,1.0,28.0,18.0
RK Kleinveldt,61.0,2.0,4.0,4.0,8.0,6.0
RK Singh,55.0,,2.0,,1.0,1.0
RL Chase,170.0,3.0,15.0,137.0,2.0,14.0
RL Johnson,16.0,4.0,4.0,,3.0,3.0
RL Powell,75.0,2.0,10.0,139.0,0.0,11.0
RM Patidar,22.0,,1.0,,,
RMS Eranga,8.0,3.0,5.0,12.0,8.0,7.0
RN Lewis,41.0,3.0,6.0,50.0,5.0,7.0
RO Hinds,,0.0,2.0,,,
RO Hurley,,2.0,2.0,2.0,,1.0
RP Arnold,550.0,0.0,30.0,174.0,4.0,18.0
RP Burl,134.0,1.0,9.0,29.0,3.0,9.0
RP Meredith,,,,,0.0,1.0
RP Singh,51.0,27.0,22.0,6.0,13.0,16.0
RR Beaton,,1.0,1.0,12.0,,1.0
RR Emrit,,0.0,2.0,13.0,,2.0
RR Hendricks,271.0,,7.0,284.0,1.0,12.0
RR Pant,360.0,,7.0,262.0,,10.0
RR Powar,43.0,2.0,10.0,30.0,9.0,10.0
RR Ramdass,,,,1.0,,1.0
RR Rossouw,497.0,,8.0,64.0,0.0,7.0
RR Sarwan,724.0,14.0,34.0,1213.0,2.0,39.0
RS Bopara,614.0,14.0,50.0,777.0,14.0,52.0
RS Gavaskar,30.0,,3.0,,1.0,1.0
RS Higgins,0.0,2.0,2.0,2.0,0.0,2.0
RS Kaluwitharana,54.0,,2.0,56.0,,3.0
RS Morton,354.0,,10.0,537.0,0.0,18.0
RT Crandon,5.0,,1.0,,,
RT Ponting,2480.0,,63.0,1967.0,,50.0
RTM Mendis,35.0,,3.0,,4.0,2.0
RV Uthappa,273.0,,12.0,357.0,,15.0
RW Chakabva,232.0,,9.0,353.0,,16.0
RW Price,152.0,31.0,48.0,106.0,27.0,41.0
RW Sims,24.0,,1.0,,0.0,1.0
RWT Key,30.0,,2.0,,,
Rahat Ali,6.0,7.0,5.0,1.0,7.0,7.0
Rajin Saleh,153.0,3.0,9.0,179.0,0.0,9.0
Raqibul Hasan,207.0,,10.0,422.0,,16.0
Rashid Latif,102.0,,5.0,1.0,,2.0
Ravi Bishnoi,,1.0,1.0,4.0,,1.0
Rehan Ahmed,12.0,2.0,2.0,,2.0,1.0
Rishad Hossain,,1.0,1.0,48.0,,1.0
Rizwan Ahmed,,0.0,1.0,,,
Robiul Islam,,,,,1.0,1.0
Rubel Hossain,44.0,37.0,37.0,34.0,40.0,43.0
Rumman Raees,0.0,4.0,3.0,16.0,5.0,4.0
S Badrinath,12.0,,2.0,67.0,,4.0
S Chanderpaul,983.0,0.0,28.0,1394.0,,36.0
S Chattergoon,,0.0,1.0,88.0,,3.0
S Dhawan,1871.0,,41.0,2416.0,,59.0
S Dube,,0.0,2.0,9.0,,2.0
S Joseph,,,,,1.0,1.0
S Kaul,,1.0,2.0,1.0,,1.0
S Mahmood,8.0,0.0,2.0,,2.0,2.0
S Matsikenyeri,474.0,8.0,37.0,277.0,7.0,33.0
S Prasanna,65.0,5.0,22.0,107.0,18.0,24.0
S Randiv,141.0,15.0,17.0,36.0,8.0,14.0
S Samarawickrama,247.0,,10.0,139.0,,7.0
S Sreesanth,12.0,22.0,20.0,15.0,20.0,18.0
S Tyagi,,1.0,1.0,,,
S Weerakoon,,,,,1.0,1.0
SA Abbott,128.0,13.0,14.0,42.0,11.0,11.0
SA Yadav,129.0,,7.0,136.0,,8.0
SB Bangar,1.0,0.0,3.0,7.0,0.0,3.0
SB Styris,1091.0,29.0,62.0,950.0,23.0,56.0
SC Ganguly,731.0,7.0,38.0,458.0,8.0,28.0
SC Joseph,61.0,,3.0,9.0,,1.0
SC Meaker,,1.0,1.0,1.0,,1.0
SC Williams,808.0,16.0,56.0,777.0,6.0,51.0
SCJ Broad,71.0,76.0,50.0,218.0,42.0,48.0
SD Heazlett,,,,4.0,,1.0
SD Hope,1509.0,,26.0,1231.0,,30.0
SD Parry,,,,,1.0,1.0
SD Udal,0.0,,1.0,,1.0,1.0
SE Bond,79.0,35.0,29.0,18.0,31.0,25.0
SE Findlay,8.0,,1.0,80.0,,3.0
SE Marsh,1116.0,,29.0,738.0,,21.0
SE Rutherford,197.0,0.0,4.0,6.0,1.0,3.0
SF Mire,93.0,3.0,13.0,198.0,0.0,10.0
SHT Kandamby,272.0,2.0,13.0,185.0,0.0,9.0
SI Mahmood,0.0,19.0,9.0,54.0,4.0,10.0
SJ Benn,40.0,11.0,23.0,77.0,6.0,21.0
SJ Harmison,2.0,16.0,10.0,29.0,5.0,14.0
SK Raina,1595.0,11.0,83.0,1538.0,11.0,74.0
SK Warne,0.0,1.0,2.0,,2.0,1.0
SL Malinga,189.0,88.0,97.0,155.0,105.0,93.0
SM Boland,0.0,9.0,8.0,6.0,0.0,4.0
SM Curran,244.0,10.0,18.0,189.0,10.0,16.0
SM Davies,92.0,,2.0,93.0,,3.0
SM Ervine,75.0,16.0,13.0,141.0,2.0,11.0
SM Harwood,,2.0,1.0,0.0,,1.0
SM Katich,269.0,,8.0,281.0,,6.0
SM Pollock,262.0,31.0,45.0,325.0,28.0,37.0
SM Warnapura,,,,0.0,,1.0
SMA Priyanjan,101.0,4.0,11.0,94.0,0.0,10.0
SMSM Senanayake,24.0,16.0,23.0,115.0,15.0,21.0
SN Thakur,107.0,21.0,23.0,140.0,23.0,22.0
SO Hetmyer,398.0,,11.0,268.0,,13.0
SP Fleming,761.0,,24.0,600.0,,21.0
SP Jones,,1.0,1.0,,1.0,1.0
SP Narine,104.0,20.0,29.0,130.0,35.0,35.0
SPD Smith,2058.0,7.0,55.0,1584.0,8.0,49.0
SR Clark,28.0,11.0,13.0,16.0,12.0,13.0
SR Patel,126.0,5.0,14.0,126.0,6.0,12.0
SR Tendulkar,2128.0,11.0,62.0,1652.0,10.0,64.0
SR Watson,1537.0,40.0,89.0,1590.0,38.0,75.0
SS Cottrell,8.0,24.0,13.0,34.0,7.0,12.0
SS Iyer,608.0,,13.0,544.0,0.0,18.0
SS Pathirana,63.0,10.0,11.0,100.0,4.0,9.0
SS Tiwary,,,,12.0,,1.0
SSB Magala,,2.0,2.0,2.0,,1.0
SSJ Brooks,167.0,,8.0,169.0,,3.0
ST Finn,17.0,41.0,29.0,27.0,20.0,27.0
ST Gabriel,2.0,6.0,8.0,5.0,9.0,10.0
ST Jayasuriya,1767.0,20.0,79.0,1093.0,43.0,71.0
STR Binny,144.0,1.0,8.0,14.0,13.0,10.0
SV Bahutule,11.0,,1.0,,0.0,1.0
SV Carlisle,36.0,,1.0,74.0,,5.0
SV Samson,234.0,,6.0,183.0,,3.0
SW Ambris,26.0,,2.0,95.0,,4.0
SW Billings,209.0,,7.0,136.0,,3.0
SW Masakadza,2.0,10.0,6.0,46.0,4.0,6.0
SW Tait,9.0,19.0,11.0,11.0,24.0,13.0
Saad Ali,,,,7.0,,1.0
Saad Nasim,99.0,0.0,3.0,0.0,0.0,2.0
Sabbir Rahman,387.0,0.0,21.0,315.0,1.0,19.0
Saeed Ajmal,78.0,70.0,61.0,106.0,58.0,59.0
Saeed Anwar,,,,29.0,,1.0
Saim Ayub,,0.0,1.0,82.0,,1.0
Saleem Elahi,20.0,,1.0,7.0,,1.0
Salman Butt,540.0,0.0,19.0,935.0,0.0,29.0
Sami Aslam,70.0,,3.0,8.0,,1.0
Samiullah Khan,,0.0,1.0,,0.0,1.0
Sanwar Hossain,12.0,0.0,3.0,27.0,0.0,2.0
Saqlain Mushtaq,,2.0,1.0,12.0,,1.0
Sarfraz Ahmed,791.0,,32.0,776.0,0.0,27.0
Saud Shakeel,52.0,1.0,2.0,59.0,,2.0
Shabbir Ahmed,3.0,7.0,7.0,1.0,6.0,9.0
Shadab Khan,182.0,25.0,29.0,124.0,28.0,26.0
Shafiul Islam,46.0,23.0,27.0,21.0,10.0,27.0
Shahadat Hossain,31.0,12.0,13.0,12.0,3.0,10.0
Shahbaz Ahmed,0.0,,1.0,,0.0,1.0
Shaheen Shah Afridi,41.0,45.0,25.0,64.0,20.0,18.0
Shahid Afridi,1388.0,85.0,132.0,1292.0,66.0,122.0
Shahriar Nafees,446.0,,16.0,238.0,,11.0
Shahzaib Hasan,,,,50.0,,2.0
Shakib Al Hasan,1880.0,81.0,112.0,1841.0,70.0,109.0
Shamim Hossain,1.0,,1.0,5.0,,1.0
Shamsur Rahman,104.0,,5.0,100.0,0.0,3.0
Shan Masood,103.0,,3.0,8.0,,3.0
Sharjeel Khan,206.0,,9.0,284.0,,7.0
Shoaib Akhtar,93.0,30.0,35.0,59.0,24.0,35.0
Shoaib Malik,2035.0,53.0,132.0,2160.0,45.0,127.0
Shoriful Islam,16.0,15.0,16.0,27.0,9.0,13.0
